Systematic name      Gene name       Processed Signal     isDublicated   
A_52_P616356         Ccr1            1.843102             True           
A_52_P580582         Nppa            10.5206572           False          
A_52_P403405         Aqp7            3.6053563333333334   True           
A_52_P819156         AK046412        15.646029833333335   True           
A_51_P331831         Hvcn1           31.9066325           True           
A_51_P430630         Gpr33           1.8557963333333334   True           
A_52_P502357         C230086J09Rik   1.8566691666666664   True           
A_52_P299964         LOC434369       2.3202861666666665   True           
A_51_P356389         A330106F07Rik   7.391845166666667    True           
A_52_P684402         Ptdss2          142.19786666666667   True           
A_51_P414208         1110014K05Rik   1.9782909999999998   True           
A_51_P280918         Itfg1           176.4482             True           
A_52_P613688         Elmo1           5.651789666666667    True           
A_52_P258194         Crtac1          3.7277958333333334   True           
A_52_P229271         Pnpt1           32.81560833333333    True           
A_52_P214630         Sox9            89.36810800000002    False          
A_52_P579519         Tmem144         247.67831666666666   True           
A_52_P979997         AK039768        1.8545008333333335   True           
A_52_P453864         Syne1           2.566572666666667    True           
A_52_P655842         Ank1            2.066116             True           
A_51_P282374         H2-M10.5        1.852207             True           
A_52_P176013         Isgf3g          38.42729833333334    True           
A_51_P121179         BC056923        1.8508331666666669   True           
A_51_P448416         Pusl1           151.18938999999997   True           
A_51_P215038         5330410G16Rik   49.22507166666667    True           
A_52_P427024         Ldlr            11392.132566666667   False          
A_52_P669145         Hps5            107.29234333333333   True           
A_52_P65218          Thoc1           26.79619333333333    True           
A_51_P318564         Wnk1            107.19692333333332   True           
A_52_P123716         AK032795        2.1983425            True           
A_52_P682382         Scd1            60409.013333333336   True           
A_52_P571768         Kif13b          1.8472603333333335   True           
A_52_P267543         BC013529        266.20755            True           
A_52_P172080         BE956575        1.9916676666666664   True           
BG963265             BG963265        3.819568166666667    True           
A_51_P114722         Hao3            2.188780833333333    True           
A_52_P368650         Zswim4          40.222225            True           
A_52_P931594         AK051556        1.8496255000000001   True           
A_51_P414661         2210010C04Rik   2.425767             True           
A_52_P290374         2810011L19Rik   1.8509833333333334   True           
A_52_P103628         NAP103812-1     155.4187             True           
A_51_P291339         Ssrp1           3403.519333333333    True           
A_51_P496795         A330049M08Rik   71.442265            True           
A_52_P440044         Thap2           65.62168833333334    True           
A_52_P373010         2900092D14Rik   1.8558573333333335   True           
A_51_P170285         Apobec3         6.987575499999999    True           
A_52_P656860         Slc25a30        41.917750000000005   True           
A_52_P187023         Prdx6-rs1       1.9393556666666665   True           
A_51_P492963         Prr8            166.03556666666665   True           
A_51_P218196         Msx1            1.9793400666666667   False          
A_51_P123134         Ercc6l          5.028915166666667    True           
A_51_P213898         Usp15           352.70938333333334   True           
A_52_P413257         Med18           39.94303166666666    True           
A_51_P521171         Hif1an          164.92721666666668   True           
A_52_P846109         Mtap1a          2.5847149999999997   True           
A_52_P51896          AK082682        1.8646735            True           
A_51_P140321         Mocos           4889.537             True           
A_51_P442759         Arhgef19        369.9559833333333    True           
A_51_P174081         Zdhhc14         91.85016333333333    True           
A_52_P83688          Vps29           28.622653333333336   True           
A_51_P455040         Hoxd3           1.8630313333333335   True           
A_51_P432538         H2-T22          4043.92455           True           
A_51_P507602         Clca4           3.845434833333334    True           
A_52_P303343         Higd1b          6.690468             True           
A_51_P488211         Atp10d          32.70106500000001    True           
A_51_P425798         C130038G02Rik   1.8526993333333335   True           
A_52_P503809         Tuba6           839.6675666666666    True           
A_51_P131025         Ngdn            4623.355666666666    True           
A_51_P102122         Myog            7.5607073499999995   False          
A_51_P293489         BC013481        312.38805            True           
A_52_P76629          AK148746        97.55051666666667    True           
