Systematic name      Gene name       Processed Signal    
A_52_P616356         Ccr1            3.4772256111111113  
A_52_P580582         Nppa            14.227038855555556  
A_52_P403405         Aqp7            4.788790944444444   
A_52_P819156         AK046412        24.404112166666668  
A_51_P331831         Hvcn1           36.70478583333334   
A_51_P430630         Gpr33           2.5460634444444445  
A_52_P502357         C230086J09Rik   2.2023317222222225  
A_52_P299964         LOC434369       2.7976191666666668  
A_51_P356389         A330106F07Rik   10.271046777777778  
A_52_P684402         Ptdss2          161.18834444444443  
A_51_P414208         1110014K05Rik   2.5983706111111107  
A_51_P280918         Itfg1           230.10112222222222  
A_52_P613688         Elmo1           7.755552833333333   
A_52_P258194         Crtac1          5.6929541666666665  
A_52_P229271         Pnpt1           38.03810833333333   
A_52_P214630         Sox9            114.6799912777778   
A_52_P579519         Tmem144         307.7265722222223   
A_52_P979997         AK039768        2.1039573333333337  
A_52_P453864         Syne1           3.0551645555555553  
A_52_P655842         Ank1            4.107939055555556   
A_51_P282374         H2-M10.5        4.825135333333333   
A_52_P176013         Isgf3g          44.94440500000001   
A_51_P121179         BC056923        2.192978166666667   
A_51_P448416         Pusl1           173.53191888888887  
A_51_P215038         5330410G16Rik   54.40142500000001   
A_52_P427024         Ldlr            15079.558305555554  
A_52_P669145         Hps5            124.95514555555557  
A_52_P65218          Thoc1           38.51501222222222   
A_51_P318564         Wnk1            119.2642738888889   
A_52_P123716         AK032795        2.5973056666666667  
A_52_P682382         Scd1            63349.11444444444   
A_52_P571768         Kif13b          2.076308555555556   
A_52_P267543         BC013529        307.22600000000006  
A_52_P172080         BE956575        3.517809777777778   
BG963265             BG963265        6.033986333333334   
A_51_P114722         Hao3            4.628032888888888   
A_52_P368650         Zswim4          50.00576            
A_52_P931594         AK051556        4.690658722222222   
A_51_P414661         2210010C04Rik   4.35395             
A_52_P290374         2810011L19Rik   2.442709277777778   
A_52_P103628         NAP103812-1     207.29302777777778  
A_51_P291339         Ssrp1           3964.6041111111113  
A_51_P496795         A330049M08Rik   93.58503888888889   
A_52_P440044         Thap2           79.6822288888889    
A_52_P373010         2900092D14Rik   3.8928391111111105  
A_51_P170285         Apobec3         10.445785333333333  
A_52_P656860         Slc25a30        40.82119044444445   
A_52_P187023         Prdx6-rs1       6.235493944444445   
A_51_P492963         Prr8            180.41785000000002  
A_51_P218196         Msx1            2.1153530055555554  
A_51_P123134         Ercc6l          6.764261666666667   
A_51_P213898         Usp15           422.2235111111111   
A_52_P413257         Med18           43.516909999999996  
A_51_P521171         Hif1an          177.6895722222222   
A_52_P846109         Mtap1a          3.9482581666666667  
A_52_P51896          AK082682        5.049598055555556   
A_51_P140321         Mocos           6288.586833333334   
A_51_P442759         Arhgef19        412.7647555555555   
A_51_P174081         Zdhhc14         105.50786055555555  
A_52_P83688          Vps29           34.71167555555556   
A_51_P455040         Hoxd3           2.3771684444444445  
A_51_P432538         H2-T22          6052.965294444445   
A_51_P507602         Clca4           2.9769362222222226  
A_52_P303343         Higd1b          5.523035111111111   
A_51_P488211         Atp10d          47.383596666666676  
A_51_P425798         C130038G02Rik   2.2094153333333337  
A_52_P503809         Tuba6           1394.6680055555555  
A_51_P131025         Ngdn            5577.829999999999   
A_51_P102122         Myog            8.765434677777778   
A_51_P293489         BC013481        346.60251666666665  
A_52_P76629          AK148746        109.76411666666667  
A_52_P137901         Zfp516          25.070325           
A_52_P247927         2810442I21Rik   59.05202222222223   
