Systematic name      Gene name       Processed Signal     isDublicated   
A_52_P616356         Ccr1            2.370648             True           
A_52_P580582         Nppa            16.751790399999997   False          
A_52_P403405         Aqp7            6.260856999999999    True           
A_52_P819156         AK046412        24.559504999999998   True           
A_51_P331831         Hvcn1           42.473940000000006   True           
A_51_P430630         Gpr33           2.6293323333333336   True           
A_52_P502357         C230086J09Rik   2.364745166666667    True           
A_52_P299964         LOC434369       2.587833             True           
A_51_P356389         A330106F07Rik   9.6957845            True           
A_52_P684402         Ptdss2          172.08561666666665   True           
A_51_P414208         1110014K05Rik   2.743511             True           
A_51_P280918         Itfg1           241.2480666666667    True           
A_52_P613688         Elmo1           8.917917833333332    True           
A_52_P258194         Crtac1          9.924795333333332    True           
A_52_P229271         Pnpt1           38.29941             True           
A_52_P214630         Sox9            127.75944766666669   False          
A_52_P579519         Tmem144         323.2520333333334    True           
A_52_P979997         AK039768        2.341332             True           
A_52_P453864         Syne1           3.5338456666666667   True           
A_52_P655842         Ank1            4.035442666666667    True           
A_51_P282374         H2-M10.5        2.3351418333333336   True           
A_52_P176013         Isgf3g          50.03015333333334    True           
A_51_P121179         BC056923        2.331509833333333    True           
A_51_P448416         Pusl1           176.87256666666667   True           
A_51_P215038         5330410G16Rik   59.473778333333335   True           
A_52_P427024         Ldlr            14651.274683333333   False          
A_52_P669145         Hps5            133.65065            True           
A_52_P65218          Thoc1           38.075725            True           
A_51_P318564         Wnk1            122.2592             True           
A_52_P123716         AK032795        3.1052006666666667   True           
A_52_P682382         Scd1            62010.35333333333    True           
A_52_P571768         Kif13b          2.3222694999999995   True           
A_52_P267543         BC013529        340.8473666666667    True           
A_52_P172080         BE956575        2.5868586666666666   True           
BG963265             BG963265        5.737332666666667    True           
A_51_P114722         Hao3            3.867462666666667    True           
A_52_P368650         Zswim4          52.47477999999999    True           
A_52_P931594         AK051556        2.3233916666666663   True           
A_51_P414661         2210010C04Rik   5.280223500000001    True           
A_52_P290374         2810011L19Rik   2.933910333333333    True           
A_52_P103628         NAP103812-1     237.37253333333334   True           
A_51_P291339         Ssrp1           4336.338333333333    True           
A_51_P496795         A330049M08Rik   139.090735           True           
A_52_P440044         Thap2           81.22567666666667    True           
A_52_P373010         2900092D14Rik   2.5269231666666667   True           
A_51_P170285         Apobec3         9.620896833333333    True           
A_52_P656860         Slc25a30        42.81809966666666    True           
A_52_P187023         Prdx6-rs1       14.187983166666667   True           
A_51_P492963         Prr8            183.26485            True           
A_51_P218196         Msx1            2.28853685           False          
A_51_P123134         Ercc6l          6.002757333333334    True           
A_51_P213898         Usp15           427.77573333333333   True           
A_52_P413257         Med18           42.67792333333333    True           
A_51_P521171         Hif1an          180.04585            True           
A_52_P846109         Mtap1a          4.521872             True           
A_52_P51896          AK082682        2.3864716666666665   True           
A_51_P140321         Mocos           6882.728833333334    True           
A_51_P442759         Arhgef19        471.9016             True           
A_51_P174081         Zdhhc14         105.84116999999999   True           
A_52_P83688          Vps29           35.925255            True           
A_51_P455040         Hoxd3           2.3399811666666666   True           
A_51_P432538         H2-T22          7920.857500000001    True           
A_51_P507602         Clca4           2.6480983333333334   True           
A_52_P303343         Higd1b          4.275263166666667    True           
A_51_P488211         Atp10d          62.37742666666667    True           
A_51_P425798         C130038G02Rik   2.3679166666666664   True           
A_52_P503809         Tuba6           1252.9146166666667   True           
A_51_P131025         Ngdn            5581.562166666667    True           
A_51_P102122         Myog            10.7678639           False          
A_51_P293489         BC013481        352.6712             True           
A_52_P76629          AK148746        119.1914             True           
A_52_P137901         Zfp516          27.390861666666666   True           
A_52_P247927         2810442I21Rik   67.12142333333334    True           
A_52_P583219         4933423P22Rik   4.4407171666666665   True           
A_51_P349751         Scel            2.893102666666667    True           
A_51_P514421         Slc35a1         389.0532166666667    True           
A_52_P496870         2310011J03Rik   254.3200666666667    True           
A_52_P648688         Zc3h12d         34.96779333333333    True           
A_51_P449777         Tmepai          24.182782500000002   True           
A_51_P363960         Olfr1356        4.953043666666667    True           
A_52_P293556         Wdr41           387.88973333333337   True           
A_51_P240269         BC031748        11.161721333333334   True           
A_51_P224630         Dtwd2           41.59630666666667    True           
A_51_P256202         Ctsz            14314.625            True           
A_52_P666646         4933426M11Rik   682.3202333333334    True           
A_52_P247491         Ddhd1           167.3081             True           
A_51_P177605         C130022K22Rik   318.74943333333334   True           
A_51_P327285         Extl2           241.60608333333334   True           
A_52_P593965         Fdps            413.82470000000006   True           
A_51_P258721         Tpsg1           3.2568863333333335   True           
A_51_P262432         Sfrs2           2943.6504999999997   True           
A_52_P493882         AK088929        69.49480666666666    True           
A_51_P235440         Pelp1           71.23193333333334    True           
A_51_P439711         Rif1            445.86311666666666   True           
A_52_P1147900        AK032125        2.3195878333333337   True           
AK080090             AK080090        2.319637             True           
A_51_P160673         Kcne1l          2.319614             True           
A_52_P494261         Tbxas1          2.3685483333333335   True           
A_52_P411601         Ep300           86.15030666666667    True           
A_52_P892061         AK081450        2.3218155            True           
A_52_P124126         AK050809        2.3226048333333336   True           
A_51_P308298         Myl9            929.3443666666667    True           
A_52_P196097         Btn1a1          3.1774489999999997   True           
A_52_P377736         M60510          8.296470333333332    True           
A_51_P207781         Olfr1297        2.3284435            True           
A_51_P389751         Relb            204.48508333333336   True           
A_52_P25008          Arid2           129.6054             True           
A_52_P925197         Btg2            81.95238333333333    True           
A_51_P490023         Tubb2a          13168.978166666668   True           
A_52_P453785         Cthrc1          2.334752             True           
A_52_P541752         Ddit4l          25.75220333333333    True           
A_51_P329366         Srgap3          9.3742295            True           
A_52_P27849          AW146020        2.337959             True           
A_52_P10458          Skp1a           3935.8403333333335   True           
A_51_P380875         Smc3            680.66505            True           
A_52_P338796         Trp63           2.3402203333333333   True           
A_51_P487162         Dus4l           148.66983333333334   True           
A_51_P321891         1700034E13Rik   2.340628166666667    True           
A_51_P476660         Mllt4           1796.3451666666667   True           
A_51_P328416         9330179D12Rik   2.4947619999999997   True           
A_52_P692753         A_52_P692753    281.22725            True           
A_52_P84096          Pgd             1666.0251666666666   True           
A_51_P487178         Megf11          36.81526333333333    True           
A_52_P672825         BC106120        27.939503333333334   True           
A_52_P321791         Srp9            40.113328333333335   True           
A_52_P996582         Ppp2r5c         3.747215666666667    True           
A_51_P158538         Zfp36           607.4142166666667    True           
A_51_P275697         1500005K14Rik   2.410435833333333    True           
A_51_P512519         EG214403        732.8072166666666    True           
A_52_P435154         Ifi205          10.049717833333332   True           
A_52_P430886         Krt13           2.362049             True           
A_51_P396978         Kcnip4          2.42385              True           
A_52_P455494         M6pr            4251.985833333333    True           
A_52_P197046         NAP030421-1     2.355795833333333    True           
A_51_P101929         Lgals3          407.0162             True           
A_52_P215152         Klf12           29.025090000000002   True           
A_52_P433011         Fat1            53.157466666666664   True           
A_52_P252356         4930432H15Rik   2.3466996666666664   True           
A_52_P414225         R3hdm1          64.835235            True           
A_51_P406539         AK047455        2.3420051666666666   True           
A_52_P478560         EG629849        10.731919            True           
A_52_P492989         Cspg3           6.496150166666666    True           
A_52_P309211         Pftk1           3.008134             True           
A_52_P987564         Wdfy3           179.93193333333332   True           
A_51_P346704         Sox10           20.831335            True           
A_51_P344734         Rps6            14868.713333333333   True           
A_52_P428654         Zic1            2.3958601666666666   True           
A_51_P101004         Serpinb3c       2.741545             True           
A_52_P644674         Trappc6b        3204.2893333333327   True           
A_51_P350403         Exoc4           95.95821166666667    True           
A_51_P102740         AK084873        3.2909461666666666   True           
A_51_P504494         Dll3            2.4526931666666667   True           
A_52_P85329          5830403L16Rik   2.8017853333333336   True           
A_51_P419959         Eaf1            659.4627333333334    True           
A_52_P628885         Baalc           2.3179228333333333   True           
A_52_P92905          Cd99l2          65.43438166666667    True           
A_51_P192311         AK054106        2.317644833333333    True           
A_51_P479696         Cds1            2.3330834999999994   True           
A_52_P811497         AK044923        31.363313333333334   True           
A_52_P256914         Cyp2b9          38.74163883333333    True           
A_52_P454127         Mtl5            2.6462358333333333   True           
A_52_P1012592        AK079518        3.235655833333334    True           
A_51_P113475         Pctp            16.985519833333335   True           
A_51_P425749         Cdc37           857.6361166666666    True           
A_52_P1036159        AK050890        2.5242196666666668   True           
A_52_P501882         Med12l          15.755255833333331   True           
A_52_P308507         Chd6            43.98034666666666    True           
A_52_P642005         Camta1          2.428293             True           
A_52_P403473         NAP014233-001   177.94706666666664   True           
A_52_P266940         TC1657580       20.094317666666665   True           
A_51_P109692         Olfr33          5.932797166666667    True           
A_51_P410581         Hdgfrp3         7.3594758333333345   True           
A_52_P381799         Neto2           3.6622973333333335   True           
A_51_P300444         AK086626        2.3368241666666667   True           
A_51_P157042         Ctgf            287.87741666666665   True           
A_51_P258829         Tmod4           64.31878             True           
A_51_P510418         Aldh1b1         3945.063             True           
A_51_P382618         Casp3           97.13321683333331    False          
A_52_P310225         Dnaja1          443.69423333333333   True           
A_52_P731229         AK054384        2.3388068333333334   True           
A_51_P271208         Agtrap          23.933971666666668   True           
A_51_P335169         Hoxa3           3.1607196666666666   True           
A_51_P137336         Cdh1            851.5215266666667    False          
A_51_P271529         BB303627        2.852608833333333    True           
A_51_P278843         Dscaml1         40.54411166666666    True           
A_52_P387237         Dhrs3           10770.5975           True           
A_51_P346923         Lepre1          228.80133333333333   True           
A_52_P225158         NAP113251-1     5.4988685            True           
A_52_P841474         AV264460        34.985348333333334   True           
A_52_P329367         Chka            168.30351666666664   True           
A_52_P238556         Ubc             36811.624500000005   False          
A_51_P306287         Slc30a2         2.4331080000000003   True           
A_52_P489131         7030407O06Rik   357.79608333333334   True           
A_52_P237077         Esr1            189.9170716666667    False          
A_52_P585350         Etf1            8.383835333333332    True           
A_52_P298854         2600005C20Rik   18.03925             True           
A_52_P131836         Bysl            1033.9124833333333   True           
A_51_P163942         Nos2            3.951043             False          
A_51_P110381         Cd207           428.3706833333333    True           
A_51_P516125         BC013561        5013.442333333333    True           
A_52_P923705         AK050631        3.201693666666667    True           
A_52_P482360         Syn1            2856.8080000000004   True           
A_51_P219849         Alg13           90.5208              True           
A_51_P483438         Sema3e          3.944753833333333    True           
A_52_P59335          Ankrd5          5.635335166666667    True           
A_51_P199567         Crsp7           686.4702833333332    True           
A_52_P6505           Slc39a13        203.45781666666664   True           
A_51_P204730         1500031L02Rik   1153.0839333333333   True           
A_51_P131084         Etfa            16427.326666666664   True           
A_52_P494982         AV025990        93.41268666666667    True           
A_51_P110317         1110019B22Rik   2.5441905000000005   True           
A_52_P222113         LOC435023       17.041451666666667   True           
A_52_P593361         Ash1l           107.75186333333333   True           
A_51_P429284         Oatl1           121.19570166666666   True           
A_52_P316644         Bet1            2671.6231666666663   True           
A_52_P514391         Ccnd2           255.08773333333338   True           
A_52_P272119         9530096D07Rik   24.939383333333335   True           
A_52_P191412         Negr1           9.900286             True           
A_52_P483217         Edem2           2.315808             True           
A_51_P482600         Btf3            107.78298833333334   True           
A_52_P416147         Rad23b          595.5856666666667    True           
A_52_P80440          Aqp9            1131.8088333333335   True           
A_51_P155361         Hmbs            5050.300233333333    False          
A_51_P120851         Zfp715          42.040980000000005   True           
A_51_P201520         Cnot2           1040.8437833333335   True           
A_52_P35720          Ormdl1          2.317529             True           
A_52_P99470          1110054O05Rik   33.14405166666666    True           
A_52_P1045316        Gm428           2.764341             True           
A_52_P561736         EG236622        1123.521             True           
A_51_P310594         Aldh3a1         2.322804333333333    True           
A_51_P473438         D730045B01Rik   231.72205            True           
A_51_P268439         Mcam            103.27484            True           
A_51_P444920         Olfr22-ps1      5.020341916666666    False          
A_51_P223709         Pask            35.560045            True           
A_51_P355957         Gdpd2           2.329673             True           
A_51_P401096         Foxp3           2.3310540000000004   True           
A_51_P100624         2310040M23Rik   2.3321965            True           
A_51_P359432         AK045942        687.4017833333332    True           
A_51_P302942         2210403B10Rik   3.9857339999999994   True           
A_51_P261001         Mtf2            377.19095            True           
A_52_P87997          AI987692        11.32367             True           
A_52_P3544           AK039947        2.657719166666667    True           
A_51_P314273         Parp1           819.8104833333333    True           
A_52_P201106         4930473A06Rik   102.12562833333332   True           
A_51_P222741         H2-Ea           8.234831166666668    True           
A_51_P270519         Apitd1          9.885545166666667    True           
A_51_P100519         4930542C16Rik   2.3620316666666668   True           
A_52_P572808         A230097K15Rik   1121.8418666666669   True           
A_52_P425971         1700067K01Rik   25.582510000000003   True           
A_52_P179729         Txnl4           2099.0738333333334   True           
A_51_P101975         Fgf8            18.410418550000003   False          
A_52_P311491         Ibtk            1277.4143333333334   True           
A_52_P380195         Arl4c           12.562955333333335   True           
A_52_P62833          Foxred2         2.8340193333333334   True           
A_52_P504342         2010305A19Rik   881.7079499999999    True           
A_51_P375771         Ptchd1          12.458524666666667   True           
A_52_P638100         AB070552        28.356824333333336   True           
A_51_P516012         Ntrk2           69.06063641666665    False          
A_52_P763049         AK047060        2.3608973333333334   True           
AK089219             AK089219        18.406398333333332   True           
A_51_P260513         Rpo1-3          1475.5035            True           
A_52_P676623         Zfp518          37.72778666666667    True           
A_52_P254607         Stk19           610.5264166666666    True           
A_52_P574697         Khdrbs1         1415.4925            True           
A_52_P210847         Tbx22           4.820945166666667    True           
A_51_P461877         Thbs2           36.17509             True           
A_51_P408131         AK042550        10.187863833333333   True           
A_52_P560722         D14Ertd581e     24.23848166666667    True           
A_52_P1972           NP431391        2.3381685            True           
A_52_P682315         Ikzf3           2.625720333333333    True           
A_52_P532355         Lin28b          2.3335575            True           
A_52_P672602         Olfr1168        2.331160666666667    True           
A_51_P193130         Mrpl23          7297.523666666665    True           
A_52_P963598         AK046266        2.3271681666666666   True           
A_52_P462366         Ipo8            335.55687666666665   False          
A_52_P448666         AK053721        2.949923833333333    True           
A_51_P124831         AK053770        2.3217086666666664   True           
A_52_P283156         NAP045501-1     41.09329333333334    True           
A_52_P482063         Tra2a           128.02052            True           
A_52_P245415         AW554918        60.07514999999999    True           
A_51_P336282         Npy1r           2.3163500000000004   True           
A_51_P204504         Adat1           165.2909             True           
A_52_P571371         Tmem144         329.2263166666667    True           
A_52_P240232         NAP052665-1     56.406635            True           
A_52_P510694         Xrcc2           2.313517833333333    True           
A_52_P615658         TC1642195       104.36336666666666   True           
A_52_P472686         Myef2           31.794645000000003   True           
A_52_P664593         Amigo1          39.323409999999996   True           
A_51_P416152         Cartpt          5.3657786666666665   True           
A_51_P170476         Kcns1           2.6721271666666664   True           
A_52_P576100         Sh2b1           2411.2426666666665   True           
A_52_P610239         NAP028976-1     53.001735            True           
A_51_P169374         2310046K01Rik   29.691818333333334   True           
A_52_P581594         Htr4            2.330056             True           
A_51_P396883         Gabrg1          2.2793351333333334   False          
A_52_P762611         4930477O03Rik   2.3189480000000002   True           
A_51_P293729         Ivns1abp        1225.1374666666668   True           
A_52_P180130         Itgbl1          7.736181833333334    True           
A_52_P463687         AI426330        218.83071666666663   True           
A_51_P476481         Cyp2j13         1114.8387500000001   True           
A_52_P432537         Pigm            2.3255553333333334   True           
A_52_P458742         Trim32          236.6849             True           
A_51_P398235         Dnajc11         353.01982666666675   False          
A_52_P218051         A930003O13Rik   2.3296223333333335   True           
A_51_P113753         Npffr2          3.753550166666667    True           
A_52_P347287         Mbd2            862.8789000000002    True           
A_52_P49080          Otx2            2.9833570833333334   False          
A_51_P215995         Zswim6          122.81027333333333   True           
A_52_P633665         Dfna5h          6.302927666666666    True           
A_52_P286561         Lamc3           2.335607             True           
A_51_P161574         Etfdh           18103.96333333333    True           
A_51_P220543         4930431F12Rik   2.3354005            True           
A_51_P383741         Bmp4            161.61726583333336   False          
A_51_P498312         A_51_P498312    3.0734130000000004   True           
A_51_P192924         4931440L10Rik   2.829012833333333    True           
A_51_P470503         Lsg1            309.54030000000006   True           
A_52_P371541         TC1671275       56.227751666666656   True           
A_51_P165082         D16Bwg1494e     101.48162166666667   True           
A_52_P764477         LOC675624       38.271825            True           
A_51_P489903         Ogg1            118.06933333333335   True           
A_51_P396045         Lepr            12.259404666666669   False          
A_51_P479444         Ihh             90.46421966666666    False          
A_52_P1084657        Scp2            2.3640203333333334   True           
A_52_P522264         Sp3             255.28535000000002   True           
A_51_P411286         NAP057058-1     10.037561333333333   True           
A_51_P222337         Rspo2           2.359977333333333    True           
A_51_P202305         Adam30          2.358349833333333    True           
A_51_P128648         Uqcrc2          21466.73             True           
A_51_P238405         0610009O20Rik   18.92855333333333    True           
A_52_P818995         AK049625        93.35952666666667    True           
A_52_P503466         Dlx3            2.3500735            True           
A_51_P239448         AK081574        2.3473181666666667   True           
A_52_P285674         B930006L02Rik   147.09321666666665   True           
A_52_P49261          D930033H10Rik   9.672339833333332    True           
A_52_P265762         9530068E07Rik   400.9835             True           
A_52_P177352         3010033K07Rik   3.5868005000000003   True           
A_51_P348349         AK047355        2.3351081666666667   True           
A_52_P240842         9430077A04Rik   2.332854333333333    True           
A_52_P164945         Gm1006          2.3305943333333334   True           
A_51_P430766         Il10            5.600156950000001    False          
A_51_P222773         Foxa2           4928.139383333333    False          
A_52_P166393         Art1            5.336265             True           
A_51_P401053         BQ033444        14.229111666666668   True           
A_51_P262662         Arfrp1          487.5396833333334    True           
A_52_P589568         Foxo6           7.927885666666666    True           
A_51_P150175         Ube4a           26.25111             True           
A_52_P106869         Sly             2.9783945000000003   True           
A_52_P916918         1600025M17Rik   16.35678366666667    True           
A_51_P310254         3110048E14Rik   76.140445            True           
A_52_P353478         Scn7a           2.3126455            True           
A_52_P282242         AK039120        2.3118886666666665   True           
A_51_P238932         NAP057119-1     70.77258333333333    True           
A_52_P90363          Ifi27           561.9218             True           
A_51_P270050         Ccdc121         2.310855             True           
A_52_P164797         Lct             2.370534166666667    True           
A_52_P947236         AK031104        2.3113878333333333   True           
A_52_P272874         V1rh2           2.311955333333333    True           
A_52_P431294         A430041E03      2.3125635            True           
A_51_P484691         0610038F07Rik   1442.5113333333331   True           
A_52_P69515          NAP067097-1     6.597871333333334    True           
A_52_P915787         BB455122        2.3151248333333334   True           
A_51_P312896         Spag9           58.77495666666667    True           
A_52_P134023         Rtp3            472.23308333333335   True           
A_51_P183102         Rnf139          883.9888666666666    True           
A_52_P368134         Nudcd1          138.86444666666668   True           
A_52_P73594          LOC433772       2.756218             True           
A_52_P539534         AK028908        2.3227013333333333   True           
A_51_P347240         Ppil5           2.7005923333333333   True           
A_52_P670070         Vhlh            284.89231666666666   True           
A_52_P634009         E030030F06Rik   2.3269940000000005   True           
A_52_P137829         4930402E16Rik   251.36986666666664   True           
A_51_P457372         AK078564        2.374361             True           
A_51_P126167         Dach2           2.330709             True           
A_51_P146126         Cdkn1b          131.17354999999998   True           
A_52_P282838         Spin2           41.941195            True           
A_51_P408631         Slc20a1         1027.0631833333334   True           
A_51_P491470         Ddx47           621.2726333333334    True           
A_52_P237792         Slc19a1         61.18839666666667    True           
A_51_P520832         Dnhd3           2.3339995            True           
A_51_P329356         Mcts2           833.0102500000002    True           
A_52_P79385          2610529C04Rik   893.7014833333333    True           
A_52_P476454         AI747699        2.505256             True           
A_51_P309805         Olfr584         6.4543685            True           
A_51_P225224         Htra1           466.82210000000003   True           
Ms4a4c               AB026045        3.2882025000000006   True           
8030459P20           8030459P20      2.3636606666666666   True           
A_51_P129006         B2m             15303.885766666668   False          
A_51_P162853         Olfr1281        2.3641146666666666   True           
A_52_P267401         ENSMUST00000096128 2.3638873333333335   True           
Nalp12               BC116253        950.0147466666667    False          
A_52_P585339         Abca13          2.362248             True           
A_52_P637756         Pknox2          2.3609088333333332   True           
A_52_P176573         Homer2          180.56608333333335   True           
A_51_P263965         Hmox1           1003.6496166666666   True           
A_52_P565482         AK162044        2.3558723333333336   True           
A_51_P188845         Adora1          106.87193            True           
A_51_P108190         Rpl23           2173.0404999999996   True           
A_52_P437606         Pdcd11          2.349288             True           
A_51_P241117         4930517K23Rik   22.949575000000006   True           
A_51_P446856         Flnb            68.77680166666666    True           
A_51_P154753         Klc3            22.929585000000003   True           
A_52_P544810         Cdh10           2.3395375            True           
A_52_P259521         Rag2            2.24912165           False          
A_52_P236755         B3gat2          2.334624             True           
A_52_P74229          CB590425        1726.1631588333332   True           
A_52_P691774         AK080445        2.3296768333333335   True           
A_51_P252054         Dnahc17         2.9994039999999997   True           
A_51_P390531         Epc2            726.1322166666667    True           
A_52_P571707         Extl3           2074.8465            True           
A_52_P532384         ENSMUST00000042692 125.78075666666668   True           
A_52_P376016         Rims2           3.4233436666666663   True           
A_51_P153904         D1Bwg1363e      26.71197666666667    True           
A_52_P63697          Jrk             3.062626333333333    True           
A_52_P553673         Ttc17           59.640076666666666   True           
A_52_P222193         Nkx1-2          23.929613333333336   True           
A_51_P347312         Ogfrl1          643.5298833333334    True           
A_52_P71496          Tax1bp1         2228.466             True           
A_52_P339204         Sec14l3         2.451518333333333    True           
A_52_P437488         1700011F14Rik   2.3090861666666664   True           
A_52_P264571         Mcf2l           2.6495575            True           
A_52_P157673         Dmpk            26.776861666666665   True           
A_51_P213725         4930431J08Rik   4.3736155000000005   True           
A_51_P469423         AK036031        2.3093263333333334   True           
A_52_P31751          AF012177        33.86146683333333    True           
A_52_P184362         Il22ra1         16.82755             True           
A_51_P506733         P2rx7           9.1940805            True           
A_51_P348804         Amotl2          269.9072333333333    True           
A_52_P278422         Musk            2.399252             True           
A_51_P150648         Lamp1           16706.375            True           
A_52_P480709         Agtrap          3212.776666666667    True           
A_52_P955360         AK038621        2.317129833333333    True           
A_52_P635271         Btbd6           628.1081             True           
A_52_P475423         Ablim2          43.977785000000004   True           
A_52_P538084         ENSMUST00000068818 2.3564711666666667   True           
A_51_P483877         Crygd           36.77599000000001    True           
A_52_P35915          B230312A22Rik   400.30518333333333   True           
A_52_P300776         2010301N04Rik   2.6881291666666667   True           
A_52_P595140         Hsd17b13        9871.445666666667    True           
A_52_P704340         NAP061200-1     244.70503333333332   True           
A_51_P472730         ENSMUST00000063103 95.33790166666667    True           
A_52_P315051         TC1611910       6.434870666666666    True           
A_52_P319201         B430211C08Rik   2.3312939999999998   True           
A_51_P159415         Sin3a           450.21898333333326   True           
A_51_P334785         AI447904        21.900305            True           
A_51_P449604         AK030229        2.6689789999999998   True           
A_52_P682483         Ptprk           2.9665705            True           
A_51_P481978         Rab3c           3.1123918333333336   True           
A_51_P316129         Atg4a           484.7965166666666    True           
A_52_P668146         Ccpg1           90.94464833333332    True           
A_52_P914882         4930406M16Rik   2.3283891666666663   True           
